# Directed graph: output.txt 
# Directed complete graph.
# Nodes: 250 Edges: 2500
# FromNodeId	ToNodeId
0	96
0	123
0	170
0	178
0	182
0	216
0	217
0	248
1	173
1	233
2	118
2	216
2	228
3	75
3	110
3	186
3	237
3	249
4	240
4	247
4	249
5	155
5	180
5	216
5	233
5	242
5	249
6	41
6	204
6	208
6	238
6	242
6	245
7	84
7	209
7	225
7	247
8	91
8	119
8	154
8	185
8	233
8	240
8	244
8	248
8	249
9	76
9	86
10	161
10	167
10	183
10	248
11	84
11	112
11	241
11	245
11	249
12	124
12	216
12	217
12	237
12	240
12	241
12	244
12	249
13	57
13	178
13	186
13	233
13	249
14	55
14	92
14	103
14	115
14	217
14	241
14	245
14	248
14	249
15	118
15	186
15	233
15	248
16	91
16	107
16	123
17	68
17	186
17	212
17	217
17	245
18	102
18	115
18	247
18	249
19	72
20	119
20	185
20	212
20	249
21	120
21	230
21	244
21	245
21	247
22	61
22	120
22	175
22	186
22	199
22	214
22	224
22	229
22	246
22	248
22	249
23	98
23	217
24	123
24	249
25	112
25	124
25	193
25	221
25	241
25	249
26	33
26	238
27	83
27	160
27	186
27	241
27	249
28	59
28	119
28	178
28	182
28	204
28	221
28	236
28	244
28	246
28	248
29	35
29	61
29	114
29	122
29	124
29	147
29	182
29	201
29	210
29	233
29	244
29	245
29	247
29	249
30	108
30	146
30	164
30	185
30	219
30	233
30	234
30	237
30	239
30	248
30	249
31	87
31	149
31	178
31	213
31	237
31	249
32	112
33	150
33	162
33	239
34	135
34	170
34	186
34	217
34	223
34	225
34	233
34	249
35	29
35	169
35	182
35	209
35	239
35	241
36	106
36	213
36	231
36	233
36	249
37	68
37	79
37	87
37	119
37	151
37	186
37	225
37	229
37	240
37	248
38	195
38	217
38	233
38	236
38	246
38	249
39	108
39	111
39	114
39	152
39	247
40	49
40	68
40	111
40	124
40	170
40	205
40	249
41	61
41	92
41	121
41	162
41	242
42	30
42	55
42	92
42	116
42	119
42	123
42	186
42	201
42	217
42	249
43	22
43	79
43	209
43	245
44	90
44	122
44	145
44	155
44	176
44	184
44	223
44	233
44	241
44	248
44	249
45	72
45	105
45	122
45	123
45	124
45	154
45	170
45	178
45	194
45	207
45	209
45	232
45	233
45	245
45	247
45	248
45	249
46	59
46	225
46	229
46	237
47	44
47	151
47	201
47	217
48	92
48	108
48	247
49	91
49	92
49	120
49	216
49	245
50	59
50	80
50	91
50	92
50	174
50	186
50	209
50	221
50	247
51	123
51	178
51	241
52	45
52	84
52	111
52	154
52	199
52	209
52	211
52	217
52	225
52	227
52	248
52	249
53	60
53	105
53	106
53	124
53	181
53	211
53	212
53	218
53	232
53	233
53	246
54	193
54	230
54	243
54	249
55	119
55	193
